hatsune miku,4,145536,
hakurei reimu,4,100560,
kirisame marisa,4,87189,
flandre scarlet,4,62722,
remilia scarlet,4,62105,
izayoi sakuya,4,53092,
artoria pendragon (fate),4,46154,altria pendragon (fate)
komeiji koishi,4,45138,
kochiya sanae,4,41067,
konpaku youmu,4,40846,
cirno,4,40539,
alice margatroid,4,39897,
sensei (blue archive),4,39172,
admiral (kancolle),4,39010,
patchouli knowledge,4,38705,
yakumo yukari,4,38437,
shameimaru aya,4,34250,
reisen udongein inaba,4,31200,
komeiji satori,4,30969,
fujiwara no mokou,4,30627,
akemi homura,4,29882,
kaname madoka,4,29799,
hong meiling,4,28119,
saigyouji yuyuko,4,28016,
scaramouche (genshin impact),4,27082,
kagamine rin,4,26186,
inubashiri momiji,4,26100,
konpaku youmu (ghost),4,22852,
kaenbyou rin,4,22766,
yakumo ran,4,22759,
doodle sensei (blue archive),4,22251,
warrior of light (ff14),4,22241,avatar (ff14)
rumia,4,22212,
kaga (kancolle),4,22196,
lumine (genshin impact),4,22076,hotaru (genshin impact)
raiden shogun,4,22025,
moriya suwako,4,21985,
saber (fate),4,21193,"artoria pendragon (saber) (fate),saber"
trailblazer (honkai: star rail),4,21129,
mash kyrielight,4,20880,
link,4,20753,
shimakaze (kancolle),4,20691,
reiuji utsuho,4,20632,
chen,4,20586,
kazami yuuka,4,20264,
ganyu (genshin impact),4,20193,
miki sayaka,4,20126,
hina (blue archive),4,19498,sorasaki hina
fujimaru ritsuka (male),4,19061,
yuuka (blue archive),4,18873,hayase yuuka
tatara kogasa,4,18680,
kawashiro nitori,4,18661,
asuna (blue archive),4,18384,ichinose asuna
kasane teto,4,18134,
hibiki (kancolle),4,18043,
gotoh hitori,4,17965,"bocchi (bocchi the rock!),gotou hitori"
houraisan kaguya,4,17950,
houshou marine,4,17939,
hinanawi tenshi,4,17879,
kamishirasawa keine,4,17873,
shigure (kancolle),4,17786,
gardevoir,4,17760,
souryuu asuka langley,4,17488,
pikachu,4,17444,
kagamine len,4,17205,
sakura kyoko,4,17092,sakura kyouko
tifa lockhart,4,16953,
tomoe mami,4,16849,
princess zelda,4,16622,
firefly (honkai: star rail),4,16588,hotaru (honkai: star rail)
fujimaru ritsuka (female),4,16503,
gawr gura,4,16432,
mystia lorelei,4,16243,
frieren,4,16194,
mika (blue archive),4,16148,misono mika
koakuma,4,16140,
nazrin,4,16126,
ibuki suika,4,15996,
shirakami fubuki,4,15973,
cloud strife,4,15888,
inaba tewi,4,15741,
inkling player character,4,15588,
usami renko,4,15485,
hoshimachi suisei,4,15234,
hoshino (blue archive),4,15118,takanashi hoshino
maribel hearn,4,15111,
wanderer (genshin impact),4,15103,scaramouche (wanderer) (genshin impact)
rio (blue archive),4,14783,tsukatsuki rio
hijiri byakuren,4,14662,
trainer (umamusume),4,14614,
hu tao (genshin impact),4,14555,
ouro kronii,4,14411,
agnes tachyon (umamusume),4,14081,
houjuu nue,4,14072,
kongou (kancolle),4,14053,
megurine luka,4,13920,
furina (genshin impact),4,13918,
aether (genshin impact),4,13912,"kong (genshin impact),sora (genshin impact)"
nanami chiaki,4,13844,
jeanne d'arc alter (fate),4,13774,jalter
inazuma (kancolle),4,13553,
inkling girl,4,13505,
elysia (honkai impact),4,13384,
yagokoro eirin,4,13345,
nahida (genshin impact),4,13306,kusanali (genshin impact)
mizuhashi parsee,4,13244,
akemi homura (magical girl),4,13223,
yasaka kanako,4,13194,
manhattan cafe (umamusume),4,13179,
stelle (honkai: star rail),4,13151,female trailblazer (honkai: star rail)
kisaki (blue archive),4,13018,ryuuge kisaki
akagi (kancolle),4,13003,
doctor (arknights),4,12936,
fubuki (kancolle),4,12925,
abigail williams (fate),4,12713,
ninomae ina'nis,4,12655,
mori calliope,4,12598,
yae miko,4,12453,
2b (nier:automata),4,12364,yorha no. 2 type b
kagiyama hina,4,12222,
yuudachi (kancolle),4,12167,
amiya (arknights),4,12104,
toki (blue archive),4,12096,asuma toki
tenryuu (kancolle),4,12006,
usada pekora,4,11939,
aerith gainsborough,4,11861,
aris (blue archive),4,11753,"alice (blue archive),arisu (blue archive),tendou aris"
nekomata okayu,4,11681,
shigure kai ni (kancolle),4,11598,
producer (idolmaster),4,11552,
shiroko (blue archive),4,11500,sunaookami shiroko
kayoko (blue archive),4,11492,onikata kayoko
toyosatomimi no miko,4,11452,
ikazuchi (kancolle),4,11437,
yor briar,4,11400,
nero claudius (fate),4,11388,
togawa sakiko,4,11350,
daiyousei,4,11320,
mari (blue archive),4,11315,iochi mari
manjuu (azur lane),4,11212,
kazusa (blue archive),4,11121,kyouyama kazusa
illyasviel von einzbern,4,11103,
suzumiya haruhi,4,11077,
nami (one piece),4,11007,
makima (chainsaw man),4,10980,
kirby,4,10922,
tohsaka rin,4,10910,
hamakaze (kancolle),4,10890,
misaka mikoto,4,10851,
megumin,4,10827,
zuikaku (kancolle),4,10762,
nishizumi miho,4,10688,
akatsuki (kancolle),4,10683,
hoshiguma yuugi,4,10640,
gold ship (umamusume),4,10614,
kaname madoka (magical girl),4,10601,
akiyama mio,4,10571,
mononobe no futo,4,10557,
shiki eiki,4,10529,
chihaya anon,4,10505,
takanashi kiara,4,10491,
ayanami rei,4,10456,
haruna (kancolle),4,10446,
wriggle nightbug,4,10364,
phainon (honkai: star rail),4,10334,
shanghai doll,4,10329,
onozuka komachi,4,10325,
rem (re:zero),4,10253,
sakura miko,4,10248,
koharu (blue archive),4,10245,shimoe koharu
zhongli (genshin impact),4,10169,
imaizumi kagerou,4,10108,
reze (chainsaw man),4,10084,
morichika rinnosuke,4,10051,kourin
sakayori iroha,4,10032,
fate testarossa,4,10021,
kashima (kancolle),4,10019,
rice shower (umamusume),4,9944,
yuudachi kai ni (kancolle),4,9940,
mona (genshin impact),4,9917,
tokoyami towa,4,9916,
nagato (kancolle),4,9822,
yuzuki yukari,4,9786,
belle (zenless zone zero),4,9735,
oma kokichi,4,9732,ouma kokichi
fern (sousou no frieren),4,9706,
nanashi mumei,4,9662,
march 7th (honkai: star rail),4,9643,
minato aqua,4,9598,
pyra (xenoblade),4,9540,
rover (wuthering waves),4,9502,
scathach (fate),4,9501,
ellen joe,4,9489,
dawn (pokemon),4,9469,
suzuya (kancolle),4,9421,
kyubey,4,9382,
kita ikuyo,4,9366,
columbina (genshin impact),4,9363,"damselette (genshin impact),damslette (genshin impact)"
seia (blue archive),4,9328,yurizono seia
lillie (pokemon),4,9306,
wise (zenless zone zero),4,9303,
nakano azusa,4,9284,
nagasaki soyo,4,9275,
nagato yuki,4,9263,
tomoe mami (magical girl),4,9174,
tamamo no mae (fate),4,9146,tamamo no mae (fate/extra)
chun-li,4,9140,
hinoshita kaho,4,9046,
kinomoto sakura,4,9017,
kaito (vocaloid),4,8986,
cyrene (honkai: star rail),4,8951,
ryuujou (kancolle),4,8943,
hirasawa yui,4,8939,
toramaru shou,4,8928,
rosa (pokemon),4,8854,
himekaidou hatate,4,8849,
caelus (honkai: star rail),4,8848,male trailblazer (honkai: star rail)
daiwa scarlet (umamusume),4,8840,
may (pokemon),4,8801,
matoi ryuuko,4,8778,
jeanne d'arc (fate),4,8759,
miki sayaka (magical girl),4,8751,
sunny (omori),4,8674,
murasa minamitsu,4,8630,
mejiro mcqueen (umamusume),4,8601,
princess peach,4,8592,
texas (arknights),4,8591,
karin (blue archive),4,8515,kakudate karin
noa (blue archive),4,8464,ushio noa
nishikigi chisato,4,8459,
venti (genshin impact),4,8436,
keqing (genshin impact),4,8434,
mythra (xenoblade),4,8428,
kaku seiga,4,8422,
midoriya izuku,4,8398,
basil (omori),4,8396,
ookami mio,4,8394,
plana (blue archive),4,8393,a.r.o.n.a (blue archive)
nishikino maki,4,8392,
serval (kemono friends),4,8376,
gilgamesh (fate),4,8352,
paimon (genshin impact),4,8325,
houshou (kancolle),4,8319,
takamachi nanoha,4,8317,
joseph joestar,4,8246,
monkey d. luffy,4,8230,
kafuu chino,4,8221,
marnie (pokemon),4,8162,
hilda (pokemon),4,8107,
denji (chainsaw man),4,8094,
hata no kokoro,4,8063,
kafka (honkai: star rail),4,8046,
suletta mercury,4,8043,
saihara shuichi,4,7997,saihara shuuichi
okita souji (fate),4,7956,
oozora subaru,4,7950,
