original,3,1541220,,オリジナル
touhou,3,1077440,,東方プロジェクト
kantai collection,3,540637,,艦これ
blue archive,3,435119,,ブルアカ
fate (series),3,401950,,Fateシリーズ
pokemon,3,399408,,ポケモン
hololive,3,320640,,ホロライブ
genshin impact,3,306843,,gnsnプラス
fate/grand order,3,300596,,Fateグランドオーダー
idolmaster,3,282338,,アイドルマスター
umamusume,3,222736,,ウマ娘プリティーダービー
arknights,3,219891,,アークナイツ
vocaloid,3,204888,,ボーカロイド
honkai (series),3,183801,,崩坏
azur lane,3,155182,,アズールレーン
idolmaster cinderella girls,3,135680,,アイドルマスターシンデレラガールズ
honkai: star rail,3,130286,,崩壊スターレイル
love live!,3,126458,,ラブライブ
fire emblem,3,123075,,ファイアーエムブレム
hololive english,3,111370,,ホロライブEN
final fantasy,3,106272,,ファイナルファンタジー
zenless zone zero,3,102260,zzz (game),ゼンレスゾーンゼロ
nijisanji,3,89047,,にじさんじ
indie virtual youtuber,3,83752,,個人勢
mahou shoujo madoka magica,3,83409,,魔法少女まどか☆マギカ
girls' frontline,3,78696,gfl,ドールズフロントライン
girls und panzer,3,73057,,ガールズ&パンツァー
gundam,3,69671,,ガンダム
danganronpa (series),3,67601,,ダンガンロンパシリーズ
precure,3,67513,pretty cure,プリキュア
mahou shoujo madoka magica (anime),3,59520,,魔法少女まどか☆マギカ
kemono friends,3,58071,,けものフレンズ
jojo no kimyou na bouken,3,54405,,ジョジョの奇妙な冒険
bang dream!,3,53952,bandori,バンドリ
one piece,3,53596,,ワンピース
granblue fantasy,3,52697,,グランブルーファンタジー
honkai impact 3rd,3,52603,,崩坏3
wuthering waves,3,52420,,鸣潮
persona,3,47593,,ペルソナ
project moon,3,46445,,プロジェクトムーン
idolmaster shiny colors,3,45295,,アイドルマスターシャイニーカラーズ
goddess of victory: nikke,3,44583,,勝利の女神:NIKKE
chainsaw man,3,44498,,チェンソーマン
idolmaster (classic),3,43955,,765プロ
fate/stay night,3,43565,,フェイト/ステイナイト
yu-gi-oh!,3,43287,,遊戯王ファンアート
boku no hero academia,3,43183,,僕のヒーローアカデミア
final fantasy vii,3,40282,,ファイナルファンタジー7
love live! school idol project,3,38761,,ラブライブ!SchoolIdolProject
bang dream! it's mygo!!!!!,3,38453,"bang dream! ave mujica,bang dream! ave mujica the die is cast",バンドリアニメMyGO
the legend of zelda,3,37799,,ゼルダの伝説
love live! hasu no sora jogakuin school idol club,3,35625,"link! like! love live!,love live! hasunosora jogakuin school idol club",Link!Like!ラブライブ!
neon genesis evangelion,3,35264,shin seiki evangelion,新世紀エヴァンゲリオン
league of legends,3,34663,,リーグ・オブ・レジェンド
fire emblem heroes,3,34425,,ファイアーエムブレムヒーローズ
limbus company,3,34316,,リンバス
pokemon sword and shield,3,34314,pokemon swsh,ポケモン剣盾
final fantasy xiv,3,34216,,ファイナルファンタジーXIV
street fighter,3,33484,,ストリートファイター
splatoon (series),3,33080,,スプラトゥーン
idolmaster million live!,3,32551,,アイドルマスターミリオンライブ!
pokemon scarlet and violet,3,32067,"pokemon scarlet,pokemon sv,pokemon violet",ポケモンSV
ragnarok online,3,31899,,ラグナロクオンライン
fire emblem: three houses,3,31366,,ファイアーエムブレム風花雪月
bocchi the rock!,3,31190,,ぼっち・ざ・ろっく!
mario (series),3,30731,,マリオシリーズ
dragon ball,3,29802,,ドラゴンボール
project sekai,3,29113,,プロジェクトセカイ
xenoblade chronicles (series),3,29015,,ゼノブレイドシリーズ
utau,3,27571,,UTAU
princess connect!,3,27543,,プリンセスコネクト!
toaru majutsu no index,3,27517,,とある魔術の禁書目録
k-on!,3,27320,,けいおん!
marvel,3,27245,marvel cinematic universe,マーベル
pokemon (anime),3,26940,,ポケットモンスター(アニポケ)
sousou no frieren,3,26405,frieren: beyond journey's end,葬送のフリーレン
danganronpa 2: goodbye despair,3,26363,,スーパーダンガンロンパ2
gakuen idolmaster,3,25754,,学園アイドルマスター
naruto (series),3,25677,,ナルト
lyrical nanoha,3,25634,,魔法少女リリカルなのは
world witches series,3,25587,,ワールドウィッチーズ
suzumiya haruhi no yuuutsu,3,25434,,涼宮ハルヒの憂鬱
danganronpa v3: killing harmony,3,24839,,NEWダンガンロンパV3
voiceroid,3,24094,,ボイスロイド
pokemon sun and moon,3,24061,pokemon sm,ポケモンSM
jujutsu kaisen,3,23384,jjk,じゅじゅプラス
reverse:1999,3,23383,,リバース1999
mega man (series),3,23339,,ロックマン
love live! sunshine!!,3,23245,,ラブライブ!サンシャイン!!
guilty gear,3,22550,,ギルティギア
re:zero kara hajimeru isekai seikatsu,3,22400,re:zero - starting life in another world,Re:ゼロから始める異世界生活
fate/extra,3,22194,,セイバー(Fate/EXTRA)
omori,3,22184,,おもり
fire emblem fates,3,21979,,ファイアーエムブレムif
kono subarashii sekai ni shukufuku wo!,3,21891,konosuba: god's blessing on this wonderful world!,この素晴らしい世界に祝福を!
love live! nijigasaki high school idol club,3,21689,,ラブライブ!PDP
digimon,3,21275,,デジモン
xenoblade chronicles 2,3,21269,,ゼノブレイド2
tales of (series),3,20724,,テイルズオブシリーズ
monogatari (series),3,20617,,物語シリーズ
real life,3,20419,,実在の人
kimetsu no yaiba,3,20277,,鬼滅の刃
bleach,3,20157,,ブリーチ
dragon quest,3,20028,,ドラゴンクエスト
senran kagura,3,19911,,閃乱カグラ
overwatch,3,19595,,オーバーウォッチ
