original,オリジナル
touhou,東方プロジェクト
kantai collection,艦これ
blue archive,ブルアカ
pokemon,ポケモン
fate (series),Fateシリーズ
hololive,ホロライブ
genshin impact,gnsnプラス
fate/grand order,Fateグランドオーダー
idolmaster,アイドルマスター
umamusume,ウマ娘プリティーダービー
arknights,アークナイツ
vocaloid,ボーカロイド
honkai (series),崩坏
azur lane,アズールレーン
idolmaster cinderella girls,アイドルマスターシンデレラガールズ
honkai: star rail,崩壊スターレイル
love live!,ラブライブ
fire emblem,ファイアーエムブレム
hololive english,ホロライブEN
zenless zone zero,ゼンレスゾーンゼロ
final fantasy,ファイナルファンタジー
nijisanji,にじさんじ
indie virtual youtuber,個人勢
mahou shoujo madoka magica,魔法少女まどか☆マギカ
girls' frontline,ドールズフロントライン
girls und panzer,ガールズ&パンツァー
gundam,ガンダム
danganronpa (series),ダンガンロンパシリーズ
precure,プリキュア
mahou shoujo madoka magica (anime),魔法少女まどか☆マギカ
kemono friends,けものフレンズ
bang dream!,バンドリ
wuthering waves,鸣潮
jojo no kimyou na bouken,ジョジョの奇妙な冒険
one piece,ワンピース
honkai impact 3rd,崩坏3
granblue fantasy,グランブルーファンタジー
persona,ペルソナ
project moon,プロジェクトムーン
goddess of victory: nikke,勝利の女神:NIKKE
idolmaster shiny colors,アイドルマスターシャイニーカラーズ
chainsaw man,チェンソーマン
idolmaster (classic),765プロ
boku no hero academia,僕のヒーローアカデミア
yu-gi-oh!,遊戯王ファンアート
fate/stay night,フェイト/ステイナイト
final fantasy vii,ファイナルファンタジー7
bang dream! it's mygo!!!!!,バンドリアニメMyGO
love live! school idol project,ラブライブ!SchoolIdolProject
the legend of zelda,ゼルダの伝説
love live! hasu no sora jogakuin school idol club,Link!Like!ラブライブ!
neon genesis evangelion,新世紀エヴァンゲリオン
limbus company,リンバス
league of legends,リーグ・オブ・レジェンド
fire emblem heroes,ファイアーエムブレムヒーローズ
pokemon sword and shield,ポケモン剣盾
final fantasy xiv,ファイナルファンタジーXIV
street fighter,ストリートファイター
splatoon (series),スプラトゥーン
idolmaster million live!,アイドルマスターミリオンライブ!
pokemon scarlet and violet,ポケモンSV
ragnarok online,ラグナロクオンライン
fire emblem: three houses,ファイアーエムブレム風花雪月
bocchi the rock!,ぼっち・ざ・ろっく!
mario (series),マリオシリーズ
dragon ball,ドラゴンボール
project sekai,プロジェクトセカイ
xenoblade chronicles (series),ゼノブレイドシリーズ
marvel,マーベル
utau,UTAU
toaru majutsu no index,とある魔術の禁書目録
princess connect!,プリンセスコネクト!
k-on!,けいおん!
pokemon (anime),ポケットモンスター(アニポケ)
danganronpa 2: goodbye despair,スーパーダンガンロンパ2
sousou no frieren,葬送のフリーレン
gakuen idolmaster,学園アイドルマスター
naruto (series),ナルト
world witches series,ワールドウィッチーズ
lyrical nanoha,魔法少女リリカルなのは
