original,3,1565373,
touhou,3,1089721,
kantai collection,3,542713,
blue archive,3,446801,
pokemon,3,406371,
fate (series),3,406219,
hololive,3,325616,
genshin impact,3,311231,
fate/grand order,3,304234,
idolmaster,3,284954,
umamusume,3,229518,
arknights,3,226132,
vocaloid,3,207240,
honkai (series),3,187051,
azur lane,3,156486,
idolmaster cinderella girls,3,136246,
honkai: star rail,3,132563,
love live!,3,128332,
fire emblem,3,124571,
hololive english,3,113141,
zenless zone zero,3,110464,zzz (game)
final fantasy,3,107659,
nijisanji,3,90439,
indie virtual youtuber,3,86750,
mahou shoujo madoka magica,3,84010,
girls' frontline,3,79437,gfl
girls und panzer,3,73383,
gundam,3,70623,
danganronpa (series),3,68543,
precure,3,68442,pretty cure
mahou shoujo madoka magica (anime),3,59914,
kemono friends,3,58249,
bang dream!,3,55535,bandori
wuthering waves,3,54756,
jojo no kimyou na bouken,3,54677,
one piece,3,54496,
honkai impact 3rd,3,53462,
granblue fantasy,3,52938,
persona,3,48566,
project moon,3,47737,
goddess of victory: nikke,3,46485,
idolmaster shiny colors,3,45745,
chainsaw man,3,45430,
idolmaster (classic),3,44289,
boku no hero academia,3,43988,
yu-gi-oh!,3,43840,
fate/stay night,3,43827,
final fantasy vii,3,41015,
bang dream! it's mygo!!!!!,3,39375,"bang dream! ave mujica,bang dream! ave mujica the die is cast"
love live! school idol project,3,38932,
the legend of zelda,3,38267,
love live! hasu no sora jogakuin school idol club,3,36721,"link! like! love live!,love live! hasunosora jogakuin school idol club"
neon genesis evangelion,3,35657,shin seiki evangelion
limbus company,3,35431,
league of legends,3,35072,
fire emblem heroes,3,34722,
pokemon sword and shield,3,34571,pokemon swsh
final fantasy xiv,3,34517,
street fighter,3,33820,
splatoon (series),3,33513,
idolmaster million live!,3,33115,
pokemon scarlet and violet,3,32510,"pokemon scarlet,pokemon sv,pokemon violet"
ragnarok online,3,32183,
fire emblem: three houses,3,31690,
bocchi the rock!,3,31558,
mario (series),3,31019,
dragon ball,3,30140,
project sekai,3,29686,
xenoblade chronicles (series),3,29282,
marvel,3,28596,marvel cinematic universe
utau,3,28434,
toaru majutsu no index,3,27787,
princess connect!,3,27641,
k-on!,3,27425,
pokemon (anime),3,27375,
danganronpa 2: goodbye despair,3,26817,
sousou no frieren,3,26815,frieren: beyond journey's end
gakuen idolmaster,3,26568,
naruto (series),3,26554,
world witches series,3,25745,
lyrical nanoha,3,25721,
suzumiya haruhi no yuuutsu,3,25522,
danganronpa v3: killing harmony,3,25011,
voiceroid,3,24497,
pokemon sun and moon,3,24343,pokemon sm
reverse:1999,3,23919,
jujutsu kaisen,3,23831,jjk
mega man (series),3,23610,
love live! sunshine!!,3,23380,
omori,3,23207,
re:zero kara hajimeru isekai seikatsu,3,22813,re:zero - starting life in another world
guilty gear,3,22762,
fate/extra,3,22261,
fire emblem fates,3,22152,
kono subarashii sekai ni shukufuku wo!,3,22108,konosuba: god's blessing on this wonderful world!
love live! nijigasaki high school idol club,3,21977,
digimon,3,21545,
xenoblade chronicles 2,3,21479,
bleach,3,21024,
monogatari (series),3,20872,
real life,3,20817,
tales of (series),3,20811,
kimetsu no yaiba,3,20597,
dragon quest,3,20322,
senran kagura,3,20112,
utdr (toby fox),3,20012,
overwatch,3,19797,
bishoujo senshi sailor moon,3,19422,
pokemon black and white,3,19391,pokemon bw
sword art online,3,19175,
sonic (series),3,18262,
strike witches,3,17640,
persona 5,3,17476,
toaru kagaku no railgun,3,17457,
touken ranbu,3,17426,
final fantasy vii remake,3,17216,
fate/apocrypha,3,17167,
fire emblem awakening,3,16947,
science adventure,3,16899,
nier (series),3,16882,
pokemon diamond/pearl/platinum,3,16823,pokemon dppt
spy x family,3,16779,
gochuumon wa usagi desu ka?,3,16777,
arknights: endfield,3,16751,
the king of fighters,3,16712,
nijisanji en,3,16683,
touhou (pc-98),3,16579,
kill la kill,3,16364,
idolmaster cinderella girls starlight stage,3,16317,
fate/zero,3,16148,
tsukihime,3,15959,
persona 4,3,15753,
persona 3,3,15536,
kirby (series),3,15437,
alien stage,3,15316,
shingeki no kyojin,3,15313,
code geass,3,15077,code geass hangyaku no lelouch r2
bang dream! girls band party!,3,14798,
nier:automata,3,14717,nier automata
danganronpa: trigger happy havoc,3,14688,
lucky star,3,14612,
dc comics,3,14499,"dc extended universe,dc universe (franchise)"
overwatch 1,3,14470,
dungeon meshi,3,14465,
neptune (series),3,14377,
idolmaster million live! theater days,3,14288,
mahou shoujo no majo saiban,3,14070,"magical girl witch trials,manosaba"
saibou shinkyoku,3,14001,cell of empireo
higurashi no naku koro ni,3,13967,
go-toubun no hanayome,3,13869,
pokemon legends: z-a,3,13846,pokemon za
tokyo afterschool summoners,3,13805,
dragon ball z,3,13697,
resident evil,3,13677,
vspo!,3,13653,
ranma 1/2,3,13579,
elden ring,3,13269,
ensemble stars!,3,13208,
darkstalkers,3,13207,vampire (game)
assault lily,3,13110,
magia record: mahou shoujo madoka magica gaiden,3,13067,magia record
cho kaguya-hime!,3,13033,"chou kaguya-hime!,cosmic princess kaguya!"
pokemon black 2 and white 2,3,13017,pokemon bw2
fire emblem engage,3,12927,
stardust crusaders,3,12924,
girls band cry,3,12838,
eiyuu densetsu,3,12825,
kamen rider,3,12769,
rwby,3,12760,
monster hunter (series),3,12389,
blazblue,3,12331,
rebuild of evangelion,3,12231,
umineko no naku koro ni,3,12195,
nikki (series),3,12168,
cookie (touhou),3,12146,
mahou shoujo lyrical nanoha,3,12121,
fate/kaleid liner prisma illya,3,12111,
pokemon x and y,3,12102,pokemon xy
mahou shoujo lyrical nanoha strikers,3,12096,
inazuma eleven (series),3,12066,
gundam suisei no majo,3,11794,
senki zesshou symphogear,3,11692,senki zesshou symphogear xv
super smash bros.,3,11663,
hololive indonesia,3,11331,
deltarune,3,11268,
rozen maiden,3,11260,
cardcaptor sakura,3,11032,
tengen toppa gurren lagann,3,11023,
onii-chan wa oshimai!,3,10996,onimai
the legend of zelda: breath of the wild,3,10968,botw
atelier (series),3,10851,
guilty gear strive,3,10754,
macross,3,10726,
pretty series,3,10657,pretty (series)
vento aureo,3,10649,golden wind
naruto shippuuden,3,10392,
axis powers hetalia,3,10384,
heaven burns red,3,10376,
lycoris recoil,3,10334,
girls' frontline 2: exilium,3,10240,gfl2
pokemon masters ex,3,10211,
hololive dev is,3,10143,
last origin,3,10026,
naruto (classic),3,9944,
battle tendency,3,9933,
pokemon heartgold and soulsilver,3,9867,pokemon hgss
fate/extra ccc,3,9734,
splatoon 3,3,9623,
pokemon legends: arceus,3,9573,
smile precure!,3,9453,"smile pretty cure,smile pretty cure!"
oshi no ko,3,9388,
undertale,3,9239,
steins;gate,3,9238,
the legend of zelda: tears of the kingdom,3,9228,totk
a.i. voice,3,9152,
helltaker,3,9084,
panty & stocking with garterbelt,3,9070,
street fighter 6,3,9024,
aikatsu! (series),3,9012,
kobayashi-san chi no maidragon,3,8965,
ace attorney,3,8947,
spider-man (series),3,8935,
one-punch man,3,8872,
yuruyuri,3,8869,yuru yuri
gridman universe,3,8726,
pokemon omega ruby and alpha sapphire,3,8633,pokemon oras
punishing: gray raven,3,8611,
mushoku tensei,3,8607,
love live! superstar!!,3,8516,
senran kagura new wave,3,8479,
bakemonogatari,3,8450,
hunter x hunter,3,8407,
twisted wonderland,3,8358,
gundam gquuuuuux,3,8338,
x-men,3,8323,
stellive,3,8317,
the hundred line -last defense academy-,3,8296,
metroid,3,8264,
sanrio,3,8247,
diamond wa kudakenai,3,8213,
high school dxd,3,8116,
synthesizer v,3,8105,
sono bisque doll wa koi wo suru,3,8005,my dress-up darling
to heart (series),3,7996,
fatal fury,3,7955,garou (game series)
ore no imouto ga konna ni kawaii wake ga nai,3,7831,
saki (manga),3,7764,
kemono friends 3,3,7621,
hibike! euphonium,3,7593,
nanashi inc.,3,7579,774 inc.
tiger & bunny,3,7541,
pixiv fantasia,3,7486,
marvel rivals,3,7481,
to love-ru,3,7471,
apex legends,3,7355,
elsword,3,7336,
warship girls r,3,7319,
gundam seed,3,7195,
inazuma eleven go,3,7177,
dead or alive,3,7172,
pokemon firered and leafgreen,3,7154,pokemon frlg
little busters!,3,7137,
library of ruina,3,7045,
kamitsubaki studio,3,7023,
watashi ga motenai no wa dou kangaetemo omaera ga warui!,3,7019,
kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~,3,7017,
kingdom hearts,3,6934,
dungeon ni deai wo motomeru no wa machigatteiru darou ka,3,6862,
disgaea,3,6823,
holostars,3,6810,
angel beats!,3,6776,
omniscient reader's viewpoint,3,6775,
dragon ball super,3,6763,
ssss.gridman,3,6763,
tekken,3,6755,
pripara,3,6708,
animal crossing,3,6679,
mahou shoujo lyrical nanoha a's,3,6652,
black rock shooter,3,6640,
amagami,3,6621,
fire emblem: the blazing blade,3,6583,
fullmetal alchemist,3,6580,hagane no renkinjutsushi
fire emblem: radiant dawn,3,6543,
mahou shoujo madoka magica: hangyaku no monogatari,3,6498,rebellion story
splatoon 1,3,6496,
shoujo kageki revue starlight,3,6469,
to heart 2,3,6446,
lobotomy corporation,3,6433,
dandadan,3,6393,
clannad,3,6377,
aikatsu!,3,6364,
needy girl overdose,3,6318,
megami magazine,3,6308,
phase connect,3,6303,
fire emblem: genealogy of the holy war,3,6253,
gintama,3,6227,
date a live,3,6185,
splatoon 2,3,6168,
stone ocean,3,6107,
transformers,3,6058,
darling in the franxx,3,6035,
batman (series),3,6024,
new super mario bros. u deluxe,3,6017,
gundam 00,3,5998,
macross frontier,3,5961,
phantasy star,3,5953,
cyberpunk (series),3,5952,
infinity nikki,3,5949,
path to nowhere,3,5936,wuqi mitu
xenoblade chronicles 3,3,5936,
len'en,3,5925,
doki doki literature club,3,5919,doki doki literature club plus
dark souls (series),3,5901,
golden kamuy,3,5889,
dokidoki! precure,3,5866,"doki doki! pretty cure,doki doki pretty cure,dokidoki! pretty cure,dokidoki pretty cure"
mobile suit gundam,3,5856,kidou senshi gundam
cookie run,3,5834,
puyopuyo,3,5826,
yahari ore no seishun lovecome wa machigatteiru.,3,5822,
star wars,3,5781,
queen's blade,3,5777,
meitantei conan,3,5760,
grandmaster of demonic cultivation,3,5757,"mo dao zu shi,modao zushi"
hellaverse,3,5754,hellaverse (franchise)
heartcatch precure!,3,5662,
flower knight girl,3,5639,
fire emblem: path of radiance,3,5621,
steel ball run,3,5593,
pokemon ruby/sapphire/emerald,3,5592,pokemon rse
houseki no kuni,3,5587,
monster musume no iru nichijou,3,5545,
love live! school idol festival,3,5544,
dungeons & dragons,3,5526,"dungeons and dragons,forgotten realms"
puzzle & dragons,3,5504,
