highres,高画質
commentary request,解説リクエスト
commentary,解説
absurdres,不条理
bad id,悪いID
english commentary,英語の解説
bad pixiv id,悪いpixiv id
translation request,翻訳リクエスト
photoshop (medium),ホトショ
translated,翻訳
official art,お仕事絵
commission,コミッション
untranslatable commentary,シンボルのみの解説
chinese commentary,中国の解説
bad twitter id,悪いツイッターID
variant set,差分
korean commentary,韓国の解説
non-web source,非ウェブソース
game asset,游戏CG
partial commentary,部分的な解説
artist request,アーティストのリクエスト
animated,アニメーション
paid reward available,付费内容
traditional media,アナログ
copyright request,著作権リクエスト
md5 mismatch,MD5ミスマッチ
lowres,ローレス
skeb commission,マブラヴSkeb部
third-party source,搬运
second-party source,来源:约稿方
scan,扫图
mixed-language commentary,混合言語解説
revision,セルフリメイク
video,動画(WebMまたはmp4)
character request,文字リクエスト
bad link,悪いリンク
spoilers,ネタバレ
pixiv commission,リクエスト絵
check translation,翻訳を確認してください
duplicate,重複
protected link,保護されたリンク
sound,音
source request,ソースリクエスト
resolution mismatch,解像度の不一致
painting (medium),絵の具
self-upload,セルフアップロード
inactive account,非アクティブアカウント
third-party edit,二改
textless version,文字なし差分
jpeg artifacts,JPEGアーティファクト
pixel-perfect duplicate,ピクセルに最適な複製
photo (medium),照片
animated gif,GIFアニメ
bad source,悪いソース
derivative work,パクリ
bad tumblr id,悪いTumblr ID
partially translated,部分的に翻訳されています
unfinished,ボツ
looping animation,ぬるぬる動く
ugoira,うごイラ
check commentary,检查解说翻译
watercolor (medium),すいさい
dated commentary,日付の解説
marker (medium),コピック
ai-generated,AIねこみみ部
tall image,背の高い画像
paid reward,有料の報酬
source smaller,ソースが小さくなります
anime screenshot,动画截图
alt text,altテキスト
cropped,抠图
promotional art,宣伝絵
making-of available,メイキング
painttool sai (medium),ペイントツールSAI
source larger,ソースが大きくなります
commissioner upload,コミッショナーのアップロード
graphite (medium),シャープペンシル
audible music,可聴音楽
imageboard desourced,イメージボードが脱却されました
clip studio paint (medium),クリスタ
photo-referenced,写真トレス
audible speech,可聴スピーチ
image sample,画像サンプル
artist collaboration,合作
official wallpaper,公式の壁紙
colorized,塗ってみた
official artist extra,本家
novel illustration,ライトノベル
patreon reward,パトレオン報酬
bad deviantart id,悪いdeviantArt id
off-topic,オフトピック
has bad revision,改訂が悪い
ai-assisted,AI+手書き
concept art,コンセプトアート
procreate (medium),プロクリエイト
colored pencil (medium),色鉛筆
clothing request,衣類のリクエスト
magazine scan,雑誌スキャン
hard-translated,ハード翻訳
resized,补分辨率
incredibly absurdres,信じられないほど不条理
pen (medium),ペン（中）
spanish commentary,スペイン語の解説
bad nicoseiga id,悪いnicoseiga id
making-of,タイムラプス
screenshot,スクリーンショット
voice drama available,ボイスドラマ
screenshot redraw,スクリーンキャップの再描画
artbook,画集
pixiv sample,pixivサンプル
mixed media,混合メディア
flower request,フラワーリクエスト
check copyright,著作権を確認してください
english audio,英語の音声
blender (medium),ブレンダー（中）
scan artifacts,アーティファクトをスキャンします
tagme,私をタグして
alternate language,正規翻訳版
fanbox reward,ファンボックスの報酬
fan request,リクエスト
annotated,注釈
has censored revision,検閲された改訂があります
romaji commentary,ロマジの解説
live2d,Live2d
redrawn,セルフリメイク
stitched,ステッチ
key visual,キービジュアル
paint.net (medium),paint.net（中）
check character,文字を確認してください
thai commentary,タイの解説
check artist,アーティストをチェックしてください
guest art,応援イラスト
upscaled,Upscaled
acrylic paint (medium),アクリル
gift art,ギフトアート
production art,概念图
downscaled,ダウンスケール
gender request,性別リクエスト
bad bcy id,悪いbcy id
bad drawr id,悪いdrawr id
archived source,アーカイブソース
wide image,広い画像
food request,フードリクエスト
millipen (medium),ミリペン
russian commentary,ロシアの解説
nude filter,剥ぎコラ
has downscaled revision,改訂版がダウンしています
weapon request,武器のリクエスト
gimp (medium),GIMP（中）
unconventional media,型破りなメディア
cosplay photo,コスプレイヤ
alpha transparency,アルファ透明性
ibispaint (medium),アイビスペイント
vector trace,ベクトルトレース
crease,折り目
lossy-lossless,損失のない
oil painting (medium),油絵
commentary typo,解説タイプミス
art study,習作
